name	ingrient	url	pic	step	instrouction	comment
'Martini' Thyme	"{'Lemon thyme (remove stalks)': '2 sprig', 'Rutte Dry Gin': '1 oz', 'Green Chartreuse liqueur': '3/4 oz', 'Giffard Sugar Cane Syrup': '1/4 oz'}"	https://www.diffordsguide.com/cocktails/recipe/1267/martini-thyme	https://cdn.diffords.com/contrib/stock-images/2016/12/04/2016629ede4db7bb743a9f5f5422f08fe521.jpg	"MUDDLE thyme in base of shaker. Add other ingredients, SHAKE with ice and fine strain into chilled glass."	A wonderfully fresh herbal Martini with the distinctive taste of Chartreuse. You'll either love it or hate it.	null
'Two Guns' Miller	"{'Patr?n Reposado tequila': '1 1/2 oz', 'Martini Rosso sweet vermouth': '1 1/2 oz', 'Giffard Pamplemousse liqueur': '1/2 oz', 'Cinnamon sugar syrup': '1/12 oz', 'Xocolatl mole bitters': '1 dash'}"	https://www.diffordsguide.com/cocktails/recipe/4306/two-guns-miller	https://cdn.diffords.com/contrib/stock-images/2017/10/56/201721e55e4fca48207592c3d9d9f8d02a2e.jpg	STIR all ingredients with ice and strain into chilled glass.	Sweet vermouth rounds while pink grapefruit liqueur freshens reposado tequila with gentle but enlivening cinnamon spice and faint bitter chocolate.	null
1862	"{'Bacardi Carta Blanca light rum': '2 1/2 oz', 'Fino sherry': '3/4 oz', 'Luxardo Maraschino liqueur': '1/4 oz', 'Freshly squeezed lemon juice': '1/4 oz', 'Giffard Sugar Cane Syrup': '1/4 oz', 'Angostura or other aromatic bitters': '1 dash', 'Pasteurised egg white': '1/2 oz'}"	https://www.diffordsguide.com/cocktails/recipe/2396/1862	https://cdn.diffords.com/contrib/stock-images/2015/8/46/2015d98c8567eb0f74e1491dfc9e59cfab65.jpg	SHAKE all ingredients with ice and strain back into shaker. DRY SHAKE (without ice) to emulsify and fine strain into chilled glass.	"Fantastically complex with notes of rum, maraschino, sherry and orange."	null
18th Century Cocktail	"{'Batavia arrack': '1 1/2 oz', 'Martini Rosso sweet vermouth': '3/4 oz', 'De Kuyper Apricot Brandy': '3/4 oz', 'Freshly squeezed lime juice': '3/4 oz'}"	https://www.diffordsguide.com/cocktails/recipe/3967/18th-century-cocktail	https://cdn.diffords.com/contrib/stock-images/2016/12/55/2016e77b928a175612e63eec736c9d1cd550.jpg	SHAKE all ingredients with ice and fine strain into chilled glass.	Tart and dry with the unmistakable funky twang of Batavia arrack.	null
1910	"{'Del Maguey VIDA mezcal': '3/4 oz', 'Cognac VSOP': '3/4 oz', 'Luxardo Maraschino liqueur': '1/2 oz', 'Carpano Punt E Mes': '1 oz', ""Peychaud's or other Creole-style bitters"": '2 dash'}"	https://www.diffordsguide.com/cocktails/recipe/4834/1910	https://cdn.diffords.com/contrib/stock-images/2019/09/5d7258679bb89.jpg	STIR all ingredients with ice and strain into chilled glass.	Mezcal and cognac fuel this stirred and strong nightcap sipper.	null
1920s Artist	"{'Irish whiskey': '1 1/2 oz', 'Kirschwasser (cherry) eau-de-vie': '1/2 oz', 'Oloroso sherry': '1/2 oz', 'Martini Extra Dry vermouth': '1/2 oz', 'Groseille (redcurrant) syrup': '1/6 oz', ""Peychaud's or other Creole-style bitters"": '1 dash'}"	https://www.diffordsguide.com/cocktails/recipe/4042/1920s-artist	https://cdn.diffords.com/contrib/stock-images/2017/1/20/20174c7de6ccbd297df79bac2020adadf174.jpg	STIR all ingredients with ice and strain into chilled glass.	Despite its soft salmon pink hue this cocktail is boozy with Irish whiskey and sherry to the fore. Oloroso sherry and dry vermouth balance each other harmoniously with red currant syrup adding flavour and richness.	null
20th Century Cocktail	"{'Rutte Dry Gin': '1 2/3 oz', 'Dutch White Cr?me de Cacao': '1 oz', 'Cocchi Americano Bianco': '1 oz', 'Freshly squeezed lemon juice': '1/3 oz'}"	https://www.diffordsguide.com/cocktails/recipe/3804/20th-century-cocktail	https://cdn.diffords.com/contrib/stock-images/2016/6/19/20166ed9f1cfca23ed7cfe63e9864a6e600c.jpg	SHAKE all ingredients with ice and fine strain into chilled glass.	"When, as originally, this cocktail is made with Rutte Celery Gin, then celery notes are very obvious in the final cocktail - perhaps more so than in the gin itself. Whatever gin you favour, this contemporary version of the Twentieth Century is fabulously expressive of the gin with subtle rich chocolate notes."	[['You may have missed the link to the classic Twentieth Century in my comment above so I have repeated in the origin to make more obvious.']]
21st Century	"{'Patr?n Reposado tequila': '1 2/3 oz', 'Dutch White Cr?me de Cacao': '1 oz', 'Cocchi Americano Bianco': '1 oz', 'Freshly squeezed lemon juice': '1/3 oz'}"	https://www.diffordsguide.com/cocktails/recipe/5085/21st-century	https://cdn.diffords.com/contrib/stock-images/2020/05/5ec64364934d0.jpg	SHAKE all ingredients with ice and fine strain into chilled glass.	"It's incredible how switching between blanco and reposado tequila (even between same brands) changes this cocktail with the blanco version somewhat out-of-kilter when compared to the more rounded, better-balanced repo version."	null
49th Parallel	"{'Cognac VSOP': '1 1/2 oz', 'Straight bottled-in-bond rye whiskey': '1/2 oz', 'Freshly squeezed lemon juice': '1/2 oz', 'De Kuyper Triple Sec (40%)': '1/2 oz', 'Lillet Blanc': '2/3 oz', ""Peychaud's or other Creole-style bitters"": '3 dash'}"	https://www.diffordsguide.com/cocktails/recipe/3698/49th-parallel	https://cdn.diffords.com/contrib/stock-images/2016/5/13/20169770719038562c53ac259b55d0864f2b.jpg	SHAKE all ingredients with ice and fine strain into chilled glass.	Sidecar-esque with zesty citrus tartness.	"[[""Bright, summer drink. It's solid, wouldn't be my go to, but nice to work it into the rotation.""], ['fruity and fresh. good alternative to summer cocktails']]"
57 T-Bird Shot	"{'Ketel One Vodka': '1/2 oz', 'Grand Marnier or other cognac orange liqueur': '1/2 oz', 'Disaronno Originale amaretto': '1/2 oz'}"	https://www.diffordsguide.com/cocktails/recipe/745/57-t-bird-shot	https://cdn.diffords.com/contrib/stock-images/2016/8/00/201645a9df80549d732389dbdda234a0cce1.jpg	SHAKE all ingredients with ice and fine strain into chilled glass.	With California Plates add ? shot orange juice; with Cape Cod Plates add ? shot cranberry juice; with Florida Plates add ? shot grapefruit juice; with Hawaiian Plates add ? shot pineapple juice.	null
