酒名,url,酒譜,介紹,步驟,口味,評論
Irish Coffee,https://www.liquor.com/recipes/irish-coffee-2/,"{'Irish whiskey': '11/2 ounce', 'brown sugar': '2 tsp', 'brewed coffee': 'hot'}","['Irish Coffee may not be the first coffee drink with alcohol, but it has become one of the most famous. Combining coffee with Irish whiskey, brown sugar and lightly whipped cream, Irish Coffee is a hot, creamy classic.', 'There are many tall tales about the Irish Coffee’s origins. The most credible version attributes the cocktail to Joe Sheridan, the head chef of the restaurant at the Foynes Flying Boat terminal in County Limerick in the early 1940s. Legend has it that when he first served it and was asked if it was Brazilian coffee, Sheridan cheekily replied that it was “Irish coffee.”', 'The drink was later made famous by Staton Deplante, who worked at the Buena Vista Cafe in San Francisco during the 1950s. Deplante wrote about the drink frequently in a travel column that was read widely across the States and piqued curiosity about Irish Coffee.']","['Filling an Irish Coffee mug with hot water, let sit for 2 minutes, then discard the water.', 'Add the whiskey and sugar to the glass, fill with the coffee, and stir.', 'Top with an inch of unsweetened lightly whipped cream.']",Bitter,[['The Buena Vista uses white cane sugar...not brown as described above.']]
CBD Spritz,https://www.liquor.com/recipes/cbd-spritz/,"{'vodka': '1 ounce', 'Aperol': '1 ounce', 'sparkling wine': '2 ounce', 'Sprig CBD-infused zero-sugar sparkling citrus soda': '2 ounce'}","['The latest hemp product to capture the imagination of chefs and bartenders, CBD soda provides all of marijuana’s therapeutic benefits minus the stony side effects. Here it’s used to add mellow citrus notes to a classic French Spritz.']","['Add all ingredients into a double rocks glass over ice and stir.', 'Garnish with a grapefruit slice.']",Bitter,[['I really Like your Recipe that you are provided above and I have make this recipe and also share this recipe to all of my friends.']]
Darkside,https://www.liquor.com/recipes/darkside/,"{'London dry gin': '21/2 ounce', 'Barolo chinato': '3/4 ounce', 'Peychaud’s bitters': '3 dash'}","['This cocktail in Derek Brown’s book “Spirits, Sugar, Water, Bitters: How the Cocktail Conquered the World” was created by Washington, D.C., bartender Adam Bernbach at now-closed Bar Pilar, where he ran a “unique program” called Cocktail Sessions, according to Brown in his book. “Guests could cozy up to the bar and order a cocktail tasting where Adam would fix three original cocktails using twists on classics,” says Brown.', 'Chinato is historically considered an aromatized wine like vermouth. It includes quinine bark, the same ingredient found in tonic that gives it a bitter edge.']","['Add all ingredients into a mixing glass with ice and stir until cold.', 'Strain into a chilled cocktail glass.', 'Garnish with a maraschino cherry.']",Bitter,"[[""The author should offer more guidance on the gin selection. The breadth of the category (which, to me, is it's biggest asset) makes gin sometimes difficult to nail down. I think a straightforward, neutral London dry like Broker's is lacking, and I think something more botanical like Junipero or St.George Terroir would be way over the top. Something more fruit-forward like Brockman's or Nolet's might certainly work, but I'm not sure that's the best direction. I think a more citrus forward selection might add more balance... but there are so many citrus expressions: Tanqueray Rangpur (lime... definitley not), New Amsterdam (the orange forward quality *might* work), Starlight (lemon-coriander... could be solid) or Elephant (lemon-something... again, maybe).""], ['My point is, there are so many directions this drink could go. And author @Adam Bernbach does not really help the reader narrow things down.'], [""I'll tell you right now: my usually magical 3-way mix of Junipero, Bluecoat and New Amsterdam is a massive fail. (Though, you should try it in a Martini w/ a dash of Peychaud's!)""], [""Very curious how the grapefruit notes in Drumshanbo will play. But I suspect the sandalwood and cedar notes in Vikre Boreal Cedar-rested gin will be the droid we're looking for.""], ['like the site but getting tired of seeing great drinks that call for 1,000 ingredients I dont have and dont know where to buy. By the time you buy everything the drink is the same price a going to a bar!'], [""Did you know that quinine is not allowed in anything other than mixes for cocktails? This is because it is a medicine for the treatment of malaria. I took quinine tablets in Africa in the 70s. It's god awful bitter. They say the British took their quinine with their gin hence its inclusion in tonic water.""]]"
Rosemary Mezcal Negroni,https://www.liquor.com/recipes/rosemary-mezcal-negroni/,"{'Mezcal': '11/4 ounce', 'Sweet vermouth': '1 ounce', 'Rosemary-infused Campari': '1 ounce'}","['The Negroni, with its holy trinity of ingredients, is the Mr. Potato Head of classic cocktails. Simply mix and match your spirit, bitter liqueur and vermouth to create something fun and original. This version calls for mezcal and rosemary-infused Campari, which lends the drink a smoky, herbaceous backbone. Dial up the smoke even more with a flamed rosemary garnish—optional but highly recommended.']","['Add all ingredients in a mixing glass with ice and stir.', 'Strain into a rocks glass over fresh ice.', 'Express oil from a grapefruit peel over the drink and discard.', 'Garnish with a rosemary sprig. (Optional: Using a kitchen torch, flame the rosemary until it smokes and extinguish before serving.).', '*Rosemary-infused Campari: In a large Mason jar, combine 12 oz Campari and 4 rosemary sprigs and seal. Let sit at room temperature for 24 hours, shaking occasionally. Strain out solids and keep in the refrigerator for up to one month.']",Bitter,NULL
Grave Digger,https://www.liquor.com/recipes/grave-digger/,"{'Vanilla-infused brandy': '11/2 ounce', 'Coffee liqueur': '3/4 ounce', 'Grand Marnier': '1/2 ounce', 'Espresso': '1 ounce'}","['Get grounded this Halloween with a dessert cocktail that’s as disturbing as it is delicious. The Grave Digger is a simple twist on a Spanish Coffee with one spooky exception: It’s topped with crushed Oreo cookies and a tiny shovel to resemble a freshly dug grave—a nifty little trick we picked up from cocktail influencer Katie Stryjewski, aka @garnish_girl.']","['Add all ingredients into a shaker with ice and shake until well-chilled.', 'Strain into a coupe.', 'Top with whipped cream and crushed Oreo cookies (discarding cream in center).', '*Vanilla-infused brandy: Cut 2 fresh vanilla pods lengthwise and place into a 750 mL bottle of brandy. Let sit for 3 to 5 days, shaking occasionally. Strain out pods and store.']",Bitter,NULL
Negroni,https://www.liquor.com/recipes/negroni/,"{'gin': '1 ounce', 'Campari': '1 ounce', 'sweet vermouth': '1 ounce'}","['Easy to make and refreshingly bitter, the Negroni is said to have been invented in Florence by a dauntless Italian count who demanded that the bartender replace the club soda in his Americano with gin. It was a substitution that launched a thousand riffs.', 'In its hundred-year history, few cocktails have encouraged more frenzied experimentation than the beloved Negroni. Its one-to-one-to-one recipe of gin, Campari and sweet vermouth has become the platform on which generations of drink mixers have left their thumbprint.', 'But how do you mix the perfect version? Start by selecting the right base materials. The key to a great Negroni is finding a gin-vermouth pairing that complements, rather than overpowers, the bitter, bold flavors of Campari. Once you zero in on a winning trio, write it down, memorize it, and request it at your favorite bar. You’ll make the count proud.']","['Add all the ingredients into a mixing glass with ice, and stir until well-chilled.', 'Strain into a rocks glass filled with large ice cubes.', 'Garnish with an orange peel.']",Bitter,"[[""The Negroni, it's fellow traveler the Boulevardier, are why we drink cocktails. However, I have to take great exception to the recipe above for neglecting the Vermouth. Carpano Antica and Cocchi are far superior to the usual (and not bad, if fresh, Martini & Rossi). Vya makes an interesting Negroni from mid-November through New Years, but just tastes 'out of season' the rest of the year. Punt e Mes is too much of a good thing and kills the brightness of the gin. And speaking of, Bombay Sapphire is my go-to gin here, as I prefer to save the Aviation for a dry Martini. More exotic gins seem lost here, and Tanqueray is for Tonics. My personal heresies are a slice of lime, squeezed and then dropped int the glass, rather than the orange, and since we spend a fair amount of time in Hawaii, my Negonis are usually served on the rocks.""], [""I just got Cinzano after I ran out of Martini & Rossi; it makes quite a nice Negroni as well. I think the aroma is more pungent than M&R. I'll try on the rocks now!""], ['Try Uncouth Vermouth with natural botanicals. If you can find it.'], ['I up the gin by 1/2 oz and add a couple of dashes of orange bitters. I think you can even back off the sweet vermouth by a 1/4 oz or so. Less sweet makes for a better warm weather drink.'], ['For a summer version, add a splash of soda and a dash of orange bitters.'], ['Then served as a highball?'], ['This sounds quite interesting and fresh.'], ['The Stanley Tucci version has 2 parts gin and an orange slice, slightly squeezed into the drink after shaking with ice. Much less bitterness forward and a much more easily drinkable.'], ['however - he shook it - a major no-no. only stir!'], [""I've been shaking my Negronis for the last two times I prepared them, and they're not bad at all. Visually is a different drink, however.""], [""Not necessarily a no no IF there's a squeezed orange slice in there. That's acceptable. Once you introduce fruit, shaking is preferred.""], ['Blasphemy']]"
Trinidad Sour,https://www.liquor.com/recipes/trinidad-sour/,"{'Angostura bitters': '11/2 ounce', 'Orgeat': '1 ounce', 'Fresh lemon juice': '3/4 ounce', 'Rye whiskey': '1/2 ounce'}","['Some drinks just look strange on paper. If you’ve mixed even a single Manhattan, you’re familiar with the dark, potent powers of Angostura bitters. Most cocktails take a dash or two, but an entire ounce and a half? That’s what’s called for in this unusual—but oh-so tasty—drink from New York bartender Giuseppe Gonzalez. The orgeat and lemon balance the herbal intensity to give it a richness that carries through to the last sip.']","['Add all the ingredients into a shaker with ice and shake for 30 seconds.', 'Strain into a chilled Nick & Nora glass.']",Bitter,NULL
Picon Punch,https://www.liquor.com/recipes/picon-punch/,"{'Amer Picon': '11/2 ounce', 'Grenadine': '1/4 ounce', 'Soda water': 'to top', 'Brandy': '1/2 ounce'}","['This 19th-century sipper hails from Marseilles, France, by way of Bakersfield, Calif., where it was mixed regularly for the local Basque population. The main ingredient, a bitter French digestif called Amer Picon, is no longer commercially available in the U.S. But that didn’t stop the bar team at San Francisco’s 15 Romolo, whose recipe substitutes a trio of Italian amari to fill in the drink’s intense herbal character.', 'This recipe originally appeared as part of “Picon Punch Is the Winter Drink You Never Knew You Needed.”']","['Pour the Amer Picon and grenadine into a Georgian Irish Coffee glass over ice and stir briefly.', 'Fill almost to top with the soda water.', 'Float the brandy on top.', 'Garnish with a lemon peel.', '*Amer Picon: Because it’s not available in the U.S., as a substitute, combine 2 parts Ramazzotti amaro, 2 parts dry curaçao and 1 part gentian liqueur in an airtight bottle and shake. Refrigerate until ready to use.']",Bitter,NULL
Americano,https://www.liquor.com/recipes/americano/,"{'Campari': '11/2 ounce', 'sweet vermouth': '11/2 ounce', 'club soda': '1 splash'}",['Mix up the Americano on the Fourth of July or anytime the spirit moves you.'],"['Pour the Campari and vermouth into a rocks or highball glass filled with ice.', 'Add the club soda.', 'Garnish with an orange twist.']",Bitter,NULL
Bicicletta,https://www.liquor.com/recipes/bicicletta/,"{'dry white wine ': '3 ounce', 'Campari': '2 ounce', 'Soda water': 'to top'}","['Mixing this refreshing Italian aperitivo is as easy as riding a bike. Simply combine two of Italy’s top tipples, dry white wine and Campari, and throw in a little fizzy water, and you’re ready to wheel into the night. Quick tip: The better the wine, the better the cocktail.']","['Add the wine and Campari into a double rocks or wine glass.', 'Fill the glass three-quarters with ice, top with soda water, and stir gently.', 'Garnish with 2 orange wheels.']",Bitter,NULL
Negroni Sbagliato,https://www.liquor.com/recipes/negroni-sbagliato/,"{'Sweet vermouth': '750 ml', 'Campari liqueur': '750 ml', 'Assorted seasonal fruit': '1 cup', 'Prosecco': '750 ml'}","['Though its name means incorrect Negroni, this bubbly punch is the right drink for your next party.']","['Add the vermouth and liqueur to a punch bowl and add large ice cubes or a large ice block.', 'Add the fruit and top with the prosecco.', 'Stir gently and garnish with freshly grated cinnamon.']",Bitter,NULL
