酒名,酒廠,url,年分,產地,酒精度,照片url,內容,評論,價錢
"Scapa 12 Years Old 2002 17.39 Relax, take it easy (56.1%, SMWS, Refill Bourbon Barrel, 243 Bottles, 2015)", Scapa distillery,https://thewhiskyphiles.com/2020/06/17/scapa-12-years-old-2002-17-39-relax-take-it-easy/, 12 Years Old,Scotch, 56.1%,https://thewhiskyphiles.files.wordpress.com/2020/06/smws-17-39.jpg,"Colour: Tamarind JuiceFavour: Light & delicateDrinking tip: Getting dressed for a dinnerVintage 23.01.2002Bottled 04.2015Age 12 years oldCask type Refill Ex-Bourbon BarrelNumber of bottles 243Official tasting notes:Delicate and fragile to start with; freshly starched linen, ice cream cone cupcakes, scented potpourri of dried flowers and perfumed talcum powder followed by the opening of a fresh grow bag to add to the tomato vines in your green house. The taste reminded us of an Indian Chai hot chocolate, creamy and rich but at the same time a pleasant spicy cardamom and cinnamon kick. Easy on the water. Delicate like a porcelain doll on the nose, with floral notes, lychees as well as chocolate and raspberry macaroons. To drink; fresh like a Turkish ‘rose sherbet’ accompanied by pink Marc de Champagne truffles.","Distilled at Scapa distillery and matured for 12 years before bottling in 2015 by SMWS, this was their first Scapa bottling in quite some time and I have rarely had the opportunity to sample Scapa whisky. This was tried along with ice cream that had been made using the same whisky as part of the SMWS summer food pairings.My tasting notes:Appearance: Light straw gold (6/20), medium droplet tears leave thick legs.Nose: Salt caramel, lemon citrus, fresh and floral, rose and vanilla.Taste: Light bodied and silky on the palate, floral roses, vanilla, white chocolate, cardamom kulfi, becomes drying like virgin/new oak wood.Finish: Medium-short, sweet then sour.", £74.10
"Glenburgie 27 Years Old 1985 71.38 A cheese-board in a library (57%, SMWS, Refill Bourbon HH, 210 Bottles, 2014)", Glenburgie distillery,https://thewhiskyphiles.com/2020/06/17/glenburgie-27-years-old-1985-71-38-a-cheese-board-in-a-library-57-smws-refill-bourbon-hh-210-bottles-2014/, 27 Years Old,Scotch, 57%,https://thewhiskyphiles.files.wordpress.com/2020/06/71.38.png,"Cask No.  71.38 Date Distilled:  28 May 1985  Colour:  Barley sugar  Age:  27 years  Flavour :  Spicy & sweet  Cask Type:  Refill ex-bourbon hogshead  Whisky Region:  Speyside LossieDrinking tip: With cheese and grapes after informal supperOutturn: 210 bottlesOfficial tasting notes:A tired bowl of fruit (including bruised apples and ripe peaches), backed by polished wood panelling, leather books and faded roses, then a scent of mild cheeses (Caboc, unripe brie, white stilton) and Melba toast. The taste reflects some of these scents: sweet, then ‘cheese on a Cream Cracker’. With water the cheese note shifts to full-fat creamy (Laughing Cow), with melon, green banana, peach skin and a hint of Badedas chestnut bath oil. Soft and sweet to taste, then faintly fizzy/peppery (Flying Saucers, spicy), with a long warming finish and a hint of banana yoghurt in the aftertaste. This distillery supplies the heart malt for Ballantine’s, so is uncommon.","My tasting notes:Appearance: Refractive full amber gold (10/20), large droplet tears and fine legs.Nose: Caramel, vanilla, old polished wood, antique shop, some dried orchard fruits, apple, pear, fusty.Taste: Beeswax, polished oak wood, barley, Murray mints, some subtle mixed orchard fruits again pear, apple, peach perhaps, vanilla cream, white wine vinegarFinish: Long, toffee, caramel, more fruity apple and pear.", £108
"Big Peat Christmas 2013 A Real Cracker (54.9%, Douglas Laing, 14400 bottles, 2013)", n/a,https://thewhiskyphiles.com/2020/06/17/big-peat-christmas-2013-a-real-cracker/, null,Scotch, 54.9%,https://thewhiskyphiles.files.wordpress.com/2020/06/big-peat-at-christmas-2013-whisky.jpg,"Big Peat is home for the holidays once more, bringing along his Santa’s sack full of blended malt Islay whisky, bottled at cask strength. Merry Christmas! It’s “a real cracker”!","Douglas Laing’s Islay blend highlighting specific distilleries on the label! This is the Christmas 2013 Edition.My tasting notes:Appearance: Very light champagne gold (2/20), quick, large tears and loose thick legs.Nose: Bonfires and rubber tyres or tyre fires? a little seaside fish and chips with salt and vinegar, oysters with cider vinegar, abrasive, briny, cereal malt, and new peat smoke, vanilla slice pastries and nutty almond and praline.Taste: Peaty, nutty, almond milk with white pepper, malty, rich, chewy, cake-y and doughy, heavy pastry, sweet honey, barley malt, tar, germolene, TCP, mint/menthol, char/burnt wood and nature (bonfire)Finish: Long, peaty, chalky, menthol and a touch rubbery.", £46.50
"Grant’s Cask Editions Sherry Cask Finish (40%, OB, 2014)", n/a,https://thewhiskyphiles.com/2020/06/17/grants-cask-editions-sherry-cask-finish/, null,Scotch, 40%,https://thewhiskyphiles.files.wordpress.com/2020/06/grants-cask-editions-sherry-cask-finish-whisky.jpg,"A blended whisky from William Grant & Sons, finished in Oloroso sherry casks. Lovely balance.Official tasting notes:The nose is quite light and fruity. There are notes of nut oils and mixed peels, hints of honey and a little oaken note. The palate is of medium-body and quite well-balanced. There are notes of sherried peels and sultanas, winter fruitcake with spice and developing oak. The finish is nutty and long with dried fruit notes.","Grant’s blended whisky finished in ex-Sherry casks, retained as part of the 2018 redesign and available in new packaging.My tasting notes:Appearance: Rich amber gold (11/20), slow, medium tears and fine legs.Nose: Peachy and fruity, dried fruits, raisin, fig, leather shoes, salty.Taste: Malty cereal barley, sherry leather, red and dried dark fruits, nutty walnut, salted caramel and milk chocolate.Finish: Short, toffee’d malt.", £19.87
"Grant’s Cask Editions Ale Cask Finish (40%, OB, 2014)", n/a,https://thewhiskyphiles.com/2020/06/17/grants-cask-editions-ale-cask-finish-40-ob-2014/, null,Scotch, 40%,https://thewhiskyphiles.files.wordpress.com/2020/06/grants-cask-editions-ale-cask-finish-whisky.jpg,"A blended whisky from Glenfiddich’s owner William Grant & Sons. The whisky was finished in strong Edinburgh ale casks, very malty. Now it comes with new packaging. Very handsome…Official tasting notes:The nose is of medium-body and quite smooth, there are some herbal notes and a little sweetness, something vegetal lurks. The palate is of medium-body and well-balanced. The cask notes are subtle but present, there are some gentle vegetal notes with a hoppy note, there are fudge notes with barley. The finish is of good length with floral honey notes.","Grant’s blended whisky finished in ex-Ale casks, retained as part of the 2018 redesign and available in new packaging.My tasting notes:Appearance: Antique amber gold (9/20), chunky legs and large tears.Nose: Beery initially, cereal barley & fresh milled barley, some fruit, apple, lemon citrus, deeper sugars, brown sugar or fudge, a hint of treacle perhaps, malt, floral, Turkish delight lemon & rose and apple & raspberry.Taste: Gentle palate, cereal barley malt, maize and popcorn, icing sugar, vanilla, coconut, woody oak, toffee, caramel, fudge, butterscotch, no spice, yeasty, honey, malty and hoppy.Finish: Short, icing sugar and vanilla sweet then nutty cereals.", £20.14
"Grant’s The Family Reserve (40%, OB, 2014)", n/a,https://thewhiskyphiles.com/2020/06/17/grants-the-family-reserve/, null,Scotch, 40%,https://thewhiskyphiles.files.wordpress.com/2020/06/grants-family-reserve-whisky.jpg,"A blended whisky from William Grant & Sons, this was awarded a Silver medal at the 2007 International Wine and Spirits Competition.Official tasting notes:The nose is quite soft and light. There are notes of malted barley and toasted cereals with the requisite sweetness. The palate is of good body and quite sweet. There are notes of toffee and caramel with vanilla fudge and a touch of gentle, supple oak. The finish is of medium-length.","The original/staple Grant’s blended whisky before the 2018 redesign meant this was dropped from their range and replaced with the Triple Wood Blend.My tasting notes:Appearance: Antique amber gold (9/20), chunky legs and large tears.Nose: Spirity/alcoholic, lemon pledge/flash/cleanser, rounded and fruity, citric orange too, cream, fudge, buttery, cereal barley, vanilla sponge cake with lemon drizzle icing.Taste: Zesty and lively, mealy, cereal barley, very citric and zesty, lemon, lime, orange, grapefruit, some caramel and fudge, toffee, oak, butterscotch and a hint of earthy peat.Finish: medium-long, bitter spices and sweet toffee combine.", £17.45 from Master of Malt
"Glasgow 1770 Triple Distilled No.1 (46%, OB, 2020)", Glasgow distillery,https://thewhiskyphiles.com/2020/06/17/glasgow-1770-triple-distilled-no-1/, null,Scotch, 46%,https://thewhiskyphiles.files.wordpress.com/2020/06/the-glasgow-distillery-company-ltd-1770-glasgow-1770-single-malt-scotch-whisky-triple-distilled-release-no.1.png,"Glasgow 1770 Triple Distilled Release No.1Smooth & ComplexGlasgow 1770 Single Malt Scotch Whisky – Triple Distilled Release No.1, is an incredibly smooth and complex addition to the Glasgow 1770 Signature Range.Crafted from the finest malted barley; distilled three times in our traditional copper pot stills; combined with the incredibly pure water of Loch Katrine and fully matured in virgin oak casks, Glasgow 1770 Triple Distilled Release No.1 is non-chill filtered and natural in colour, a truly sophisticated single malt.Glasgow 1770 is always non-chill filtered and has natural colour only.Official tasting notes:NOSE: The nose opens up with dark cherry and caramel toffee with fruity aromas leading to roasted almond and liquorice over a backdrop of vanilla and tea leavesPALATE: In the mouth it is smooth and elegant, hints of ripe pear and baked vanilla cheesecake lead to a spicy chocolate with a beautifully thick textureFINISH: The finish is long and clean with a lingering flavour of rich honey and vanilla","The final expression in The Glasgow Distillery Company Ltd’s Signature Range is this ‘classic’ lowland style triple distilled expression.  Now only in routine practice in Glasgow’s Auchentoshan distillery and selectively used for limited editions in a number of other distilleries throughout Scotland. Historically triple distillation was once considered the preferred method of lowland whisky distilleries to produce a lighter unpeated style in contrast to heavier peat-influenced highland malts.This post was sponsored by The Glasgow Distillery Co.  by provision of a sample of this product.My tasting notes:Appearance: Bright yellow gold (8/20), medium tears and beaded legs.Nose: Fresh and floral, barley flour, toffee, vanilla, parma violets, dusty icing sugar sweetness, Turkish delight, rosewater, honeysuckle and elderflower.Taste: Light-medium bodied, marshmallows, strawberry, rose, caramac, caramel sauce, creamy highland toffee, floral Turkish delight, a little mentholic/Murray mints.Finish: Medium-long, vaporous, sweet with more menthol and vanilla cream.", £49
"Glasgow 1770 Peated No.1 (46%, OB, 2019)", Glasgow distillery,https://thewhiskyphiles.com/2020/06/17/glasgow-1770-peated-no-1/, null,Scotch, 46%,https://thewhiskyphiles.files.wordpress.com/2019/08/1770-peated-1-bottle-image.png?w=1200,"Glasgow’s first and only peated whisky.Crafted by smoking the finest barley with aromatic heather-rich peat from the Scottish Highlands, Glasgow 1770 Peated combines the exceptionally pure water of Loch Katrine and has been carefully hand-crafted in the distillery’s two unique copper pot stills, Tara and Mhairi.Matured in first-fill ex-sherry casks and finished in virgin oak, Glasgow 1770 Peated is a sublime and sophisticated smoky single malt.1770 is always non-chill filtered and has natural colour only.Official tasting notes:NOSE: Sweet smoke and dried fruits with aromatic notes, flamed orange zest and rich caramel toffee.PALATE: Spicy orange and sweet smoke with rich velvety toffee leading to earthiness and dark fruitFINISH: Long and smooth and with lingering notes of macadamia and spice","The second expression from The Glasgow Distillery Co. Ltd in their signature range is this 1770 Peated single malt whisky expression. Distilled from peated barley and matured in Ex-Sherry casks before finishing in virgin oak casks.This post was sponsored by The Glasgow Distillery Co.  by provision of a sample of this product.My tasting notes:Appearance: Orange amber gold (11/20), large droplet tears, strong, medium-fine legs.Nose: Sherry fruits then dry fresh wood/sawdust, carpentry shop, dusty, charcoal, smoked apples, strawberries, plums then sweet woody (beech) smoke, lingers to coal-tar soap.Taste: Light-bodied, sweet amyl acetate and foam banana sweeties, ripe & green bananas, kiwi fruit, buttery, caramel, green/fresh oak wood, raisin, liqourice and turfy peat.Finish: Medium-long, sweet-smoked, drying, more green banana.", £49
"Inchmurrin 10 Years Old 2008 Heathrow Exclusive (57.1%, OB, Cask #79, 278 Bottles, 2018)", Loch Lomond distillery,https://thewhiskyphiles.com/2020/06/15/inchmurrin-10-years-old-2008-heathrow-exclusive/, 10 Years old,Scotch, 57.1%,https://thewhiskyphiles.files.wordpress.com/2020/06/inchmurrin-2008-heathrow-exclusive.png,"Loch Lomond Whiskies has created an exclusive whisky for World Duty Free’s World of Whiskies store in Heathrow Airport Terminal 5. Only 278 bottles of the 10-year-old Loch Lomond Inchmurrin Single Cask will be available. The non-chill filtered single malt Scotch whisky was distilled in the Loch Lomond Distillery’s straight neck pot stills in January 2008 and bottled at cask strength (57.1% ABV) in February 2018.“We’re delighted to have had the opportunity to create this limited edition Loch Lomond Inchmurrin Single Cask, which will be exclusive to World of Whiskies in Terminal 5,” said Loch Lomond Group Managing Director of Global Travel Retail André de Almeida. “This is a great example of a trinity project between Loch Lomond Group, World Duty Free and Heathrow.”World Duty Free Commercial Category Manager Kathryn Kindness commented: “We’re delighted to be able to offer this unique, limited edition Loch Lomond Inchmurrin Single Cask bottling to our World of Whiskies customers at Terminal 5.“Travellers won’t be able to get their hands on this in any other location in the world, so it will be the ideal addition for their collections or to purchase as a special gift.”Heathrow Airport Retail and Service Proposition Director Chris Annetts added: “We are delighted to offer Heathrow passengers this unique and exclusive British product. Whisky is loved the world over and this additional cask adds to our fantastic range of distillations to suit every taste.”","This global travel retail (GTR) edition was bottled exclusively for Heathrow and World of Whiskies. This was distilled in 2008 at Loch Lomond distillery and matured for 10 years in cask #79 before producingMy tasting notes:Appearance: Refractive white wine gold (3/20), large tears and strong legs.Nose: Malty, slightly citrus lemon and lime, hint of smoked meat and wood embers, crystalline sugars, tart apple juice, some pears, apple sponge cake and vanilla.Taste: Sweet and spiced, quite hot and a touch spirity, cinnamon, lemongrass, ginger and allspice, fruity apple, pear, clementine, dusty wood, sawdust, quite thin and then a little oily on the palate, light-medium bodied.Finish: Medium-long, sweet, spiced runny honey with lemongrass and allspice.", £59
"Inchmurrin 15 Years Old 1996 Signatory Vintage (43%, Signatory, Refill Butts #24+25, 1409 Bottles, 2012)", Loch Lomond distillery,https://thewhiskyphiles.com/2020/06/15/inchmurrin-15-years-old-1996-signatory-vintage-cask-24-25/, 15 Years old,Scotch, 43%,https://thewhiskyphiles.files.wordpress.com/2020/06/inchmurrin-16-year-old-1996-cask-24-and-25-signatory-whisky.jpg,"Produced by Loch Lomond in the Highlands, Inchmurrin whisky is another string to the distillery’s busy bow. This Signatory bottling of Inchmurrin was aged for 16 years in casks 24 & 25.","Distilled 18th November 1996 and matured in a pair of refill sherry butts #24 & #25 for 15 years before bottling on 5th November 2012 (just a couple of weeks under 16 Years Old?) by Signatory as part of their Vintage Collection. Produced 1409 bottles at 43% ABV.My tasting notes:Appearance: Light champagne gold (4/20), slow, medium tears with thick legs.Nose: Fruity, white grape, apple, pear, peach, apricot, sweet honey, honey glaze (meat?), syrup, cereal barley, yeasty bread and beer, grassy, dry, coloured chalk dust, vanilla and coconut.Taste: Dessert/pudding, fruit and vanilla custard, stewed and sweetened apple, pear, apricot medley, mixed like fruit puree, shortcrust pastry, fruit pies, suger, honey, syrup, caramel, fudge, woody oak, medium bodied, slightly fizzy like Champage or Prosecco with thicker malt.Finish: Medium, sherbet lemons, barley sugars, sweet and citric sour, rich syrupy base.", £discontinued
