酒名,酒廠,url,年分,產地,酒精度,照片url,內容,評論,價錢
"The English 11 Years Old (OB, 46%, 2020)", St George’s distillery,https://thewhiskyphiles.com/2020/06/08/the-english-11-years-old/, 11 Years Old,England, 46%,https://thewhiskyphiles.files.wordpress.com/2020/06/the-english-11-yr-old-bottle-and-box.png?w=1200,"As the founders of English whisky in this country, The English Whisky Co. is proud to be the first to bring you this milestone whisky.“It has been a very long wait, but after a decade and a half we are finally in a position to release and English Single Malt Whisky bearing an age statement,” explains Managing Director, Andrew Nelstrop. “The English – 11yr is a fantastic example of the the work that is being done in our cask warehouses, ensuring a generational supply of English Single Malt Whisky.”Savour and enjoy.Official tasting notes:Sweet and spicy; dry and woody with lovely oak overtones. The fruits come across with the cherries, apples and tropical fruits dominating. A nicely balanced peppery and spicy tingle on the tongue, with a rich, oily and slightly dry finish.","The first officially bottled (OB) age statement from St George’s Distillery for their standard range of The English whisky is this 11 Year Old expression releases 4th June 2020. Building on their ex-Bourbon matured Original expression, which carries no age statement but (unofficially) is made up of whisky aged for around 5-6 years. This 11 year old is built on a similar base/profile but aged twice as long. Their is a possibility than 1.10th of the casks used may have contained some peated whisky as used in their Smokey expression.Thanks to Sorren (@OCDwhisky) and the @WhiskyCircus for the chance to sample this and the other core expressions again.This post was sponsored by The English Whisky Company by provision of a sample of this product.My tasting notes:Appearance:  Refractive yellow/Sauternes gold (7/20), medium tears and medium legs.Nose: Floral and estery with ripe fruits such as pear and banana, foam banana sweeties, vanilla cream and custard.Taste: Creamy and sweet, quite thick on the palate, fruity, rhubarb and custard sweeties, citrus zest, lemon and yellow grapefruit, tinned pineapple rings in syrup, apple pie with cinnamon and a touch of white pepper builds to cayenne pepper a touch vaporous and mentholic.Finish: Long, dry, white oak wood and hay, before mouth-watering fruits return, like dried mango.", £59.95
"Three Ships 6 Years Old batch 1 (53.7%, TBWC, 1150 Bottles, 2018)", James Sedgwick Distillery,https://thewhiskyphiles.com/2020/05/11/three-ships-6-years-old-batch-1-53-7-tbwc-1150-bottles-2018/, 6 years Old,South Africa, 53.7%,https://thewhiskyphiles.files.wordpress.com/2020/05/three-ships-that-boutiquey-whisky-company-whisky.jpg,"The first bottling of South African whisky from That Boutique-y Whisky Company! It’s a 6 year old Three Ships single malt whisky from the James Sedgwick Distillery in Wellington, South Africa, featuring master distiller Andy Watts upon the label. He’s finishing filling up that cask with tasty whisky and is just sealing it up with a rather unusual tool – a cricket bat from Derbyshire County Cricket Club (the team Andy Watts used to play for!).Batch 1 is a release of 1,150 bottles.Official tasting notes:Nose: Raisins and syrupy plums notes quickly blend into dark muscovado sugar, milky latte and toasty vanilla. Charred oak, mulch and husky malt maintain the dark, earthy profile.Palate: Punchy wood spice, treacle sponge, some brown bread and damson compôte at first. Pinot Noir, bitter salted chocolate and earthy herbal qualities blend underneath.Finish: Long and a little leathery, with some spearmint hints and soft earth.Overall: An enthralling tipple that presents like its three times its age and is full of pleasant surprises.","Three Ships single malt whisky, hailing from the James Sedgwick distillery in South Africa. This example was the first bottled by That Boutique-Y Whisky Company, presumably from a vatting of at least 2 casks (to achieve 1,150 50cl bottles).This post was sponsored by That Boutique-Y Whisky Company by provision of a sample.My tasting notes:Appearance: Autumnal gold (13/20), quick, medium-large tears and long, fine legs.Nose: Sweet woody and nutty with chestnuts and acorns, oaky wood, brown sugars, praline, a touch of linseed, banana, apple, cereal barley, preach, apricot, coffee and chocolate.Taste: Much more toffee, coffee and chocolate on the palate, sweet and earthy initially but very spicy, cinnamon, nutmeg and a peppery blast, then polished oak wood. Reduced much more vanillaFinish: Medium, sweet and spicy.", £77.95 available from Master of Malt 
"The English Small Batch Release Rum Cask Matured (46%, OB, Cask B2/293, 2020)", St. George’s Distillery,https://thewhiskyphiles.com/2020/04/23/the-english-small-batch-release-rum-cask-matured/, 6 years Old,England, 46%,https://thewhiskyphiles.files.wordpress.com/2020/04/the-english-small-batch-release_rum_cask.jpg,"There is nothing more reassuring in any down time, to see an old favourite back on the shelf. Originally known as chapter 7, and these days quite a bit older and far more refined, our small batch rum cask single malt whisky has been hand bottled by the team to keep you company in these trying times. “This whisky still reminds me of rum and raisin ice cream” says Andrew Nelstrop, Chairman.Official tasting notes:Nose:    Sweet, soft & slightly spicy. A mixture of vanilla and rum and raisin ice cream, fresh and citrusy with a notes of tropical fruits. Oaky and slightly nutty with a hint of marzipan.Taste:    Soft, oily and spicy, again with citrus notes. The spice is slightly peppery with a hint of raisins. Malty with fresh oak. Salty and dry on the finish.","Batch 2/293, distilled March 2014 and Bottled march 2020, sampled during the #EnglishWhisky Tweet tasting hosted by Sorren @OCDWhisky and @EnglishWhisky for St George’s Day 2020.My tasting notes:Appearance: Champagne gold (4/20), large tears and thick legs.Nose: Vanilla, cream pastries, apple turnovers well coated with icing sugar, woodier and browner sugars too, keeps getting sweeter, powdery like floral talc and sweet candy shops combined, powdered coconut, white chocolate bounty barsTaste: Medium-bodied, slightly zestier and oilier than anticipated, butter, creamed coconut and a touch of lime zest, biscuity cereals, a little over polished oak wood hints at youthful spirit, apple, pear, Sicilian lemon Mascarpone ice cream, Clove oil.Finish: Medium sweet, buttercream icing, dusting of cinnamon and mentholic like anise hyssop or sage.", £47.50
"The English Smokey Single Malt Whisky (43%, OB, 2020)", St. George’s Distillery,https://thewhiskyphiles.com/2020/04/23/the-english-smokey-single-malt-whisky/, null,England, 43%,https://thewhiskyphiles.files.wordpress.com/2016/09/700ml-smokey-bc-lo.jpg?w=749,"The English – Smokey. Aged to perfection in specially selected casks. A peated (45ppm) single malt whisky. A lovely waft of smoke on the palate, ideal alternative for the Islay fanOfficial tasting notes:A gentle aroma with hints of vanilla, aniseed & ginger, a creamy palate, a little peat initially and then the smoke bomb! Finish is long, spicy and smokey","Sampled during the #EnglishWhisky Tweet tasting hosted by Sorren @OCDWhisky and @EnglishWhisky for St George’s Day 2020.My tasting notes:Appearance: Bright gold (8/20), slow, fat tears and thick legs.Nose: Vanilla, butter and Tar, like a dropped ice cream melting on the road, something lemony and spiced tried to come through but gets smoked out, beech-smoked scallop meat & a squeeze of fresh lemon juiceTaste: Buttery, oily, a wisp of smoke tickles the back of the throat, fat cereal barley, this is all about that buttery oil and smoke, there’s probably apple turnover covered in vanilla custard here too or even rhubarb and custard sweeties.Finish: Long, sweet butter, oily but becomes drying smoke, eucalyptus and menthol cigarettes.", £39.99
"The English Original Single Malt Whisky (43%, OB, 2019)", St. George’s Distillery,https://thewhiskyphiles.com/2020/03/31/the-english-original/, null,England, 43%,https://thewhiskyphiles.files.wordpress.com/2020/03/the-english-original.png,"The English – Original. Aged to perfection in specially selected Bourbon Casks. An unpeated single malt whisky. A great easy-drinking classic single maltOfficial tasting notes:A gentle aroma with hints of vanilla and tropical fruits. Like a soft whipped vanilla ice cream. Melts on the palate. Slightly nutty with a long malty finish. Finish is clean, dry and slightly salty.","The Original  non peated single malt whisky from St. George’s Distillery is matured in select ex-bourbon casks. Launched back in 2016 alongside their peated expression’Smokey’.This review was sponsored by The English Whisky Company by provision of a sample of this product.My tasting notes:Appearance: Bright gold (8/20), slow, medium tears and medium-fine legs.Nose: Honey and cereals barley with some restrained fruit, apple, pear, a touch floral orchard blossom perhaps, vanilla, sugary and creamy fudge or tablet.Taste: Creamy and a touch buttery, medium-bodied, vanilla ice-cream with cereal wafer biscuits and chopped nuts, hints of banana, grapefruit and pineapple.Finish: Medium, drying, woody oak and vanilla with salted caramel.", £39.99
"Penderyn Peated (46%, OB, 2019)", Penderyn distillery,https://thewhiskyphiles.com/2020/03/05/penderyn-peated-2/, null,Wales, 46%,https://thewhiskyphiles.files.wordpress.com/2020/03/penderyn-peated.jpg,"This whisky has a delicate spirit with a medium peaty character and a light golden tone. It is bottled at 46% abv.Official tasting notes:Nose: It introduces itself with sweet, aromatic smoke. Under this, there are signature notes of vanilla, green apple and refreshing citrusPalate: An array of gentle flavours tempts even the most sophisticated palateFinish: Smoke and vanilla linger on the attractive medium-length finish.Balance: Light smoke/citrus fruitiness","Sampled during the #PenderynWhisky Tweet tasting held on St David’s Day (1st March) 2020.My tasting notes:Appearance:  Pale gold (3/20), medium tears, long fine legs.Nose: Sweet, cereal, oaty, honey flapjack, dried grains, subtle medicinal-like peat, iodine, TCP from a long way off and sticking plasters, toasted almond and a little paste/marzipan, again vanilla thickens and is joined by lemon curd and foam bananas.Taste: Medium-full bodied, creamy and oily, malted cereal barley, porridge, touches of honey and lemon, foam banana sweeties and subtle aniseed balls, tarragon and wintergreen mixed with salted caramel.Finish: Long, toasted, salted almonds mixed with a little peat ash", £42.95 available from The Whisky Exchange
"Penderyn Sherrywood (46%, OB, 2019)", Penderyn distillery,https://thewhiskyphiles.com/2020/03/05/penderyn-sherrywood-2/, null,Wales, 46%,https://thewhiskyphiles.files.wordpress.com/2020/03/penderyn-sherrywood.jpg,The Penderyn Sherrywood in this bottle has been aged in ex-bourbon barrels and ex-Oloroso sherry casks to bring out its rich fruity flavour.Official tasting notes:Nose: aromas of dark fruit and rich toffee mingle with green apples and hazelnuts to create a deeper mysteryPalate: rich sweetness gives way to refreshing drynessFinish: sweet notes of toffee and sultana persist in the long finishBalance: Sherry and oak/winter spices,"Sampled during the #PenderynWhisky Tweet tasting held on St David’s Day (1st March) 2020.My tasting notes:Appearance:  Sauternes gold (7/20), large tears, strong medium legs.Nose: Sweet, apple and raisin, bramble jam, strudel (apple, cinnamon, pastry, raisin), leather and spice, hint of tobacco leaf, vanilla thickens and becomes cloying, dunnage warehouse, marmalade and chocolate orange.Taste: Full-bodied, malty, caramel sauce and apple puree/apple pie filling, raisin, strudel, treacle tart, Demerara sugar and dark chocolate orange.Finish: Sweet and spiced, becomes drying, tobacco leaf and cinnamon, later rose & lemon Turkish delight.", £43.95 available from The Whisky Exchange
"Penderyn Madeira Finish (46%, OB, 2019)", Penderyn distillery,https://thewhiskyphiles.com/2020/03/05/ppenderyn-madeira-finish/, null,Wales, 46%,https://thewhiskyphiles.files.wordpress.com/2020/03/penderyn-madeira.jpg,"This whisky is the original Penderyn ‘house style’, aged in ex-bourbon barrels and finished in ex-Madeira wine casks to bring out its full gold character. It is bottled at 46% abv.Official tasting notes:Nose: A classic freshness with aromas of cream toffee, rich fruit and raisins.Palate: Crisp and finely rounded, with the sweetness to balance an appetising dryness.Finish: Notes of tropical fruit, raisins and vanilla persist.Balance: Oaky vanilla tones/dry sweetness","Sampled during the #PenderynWhisky Tweet tasting held on St David’s Day (1st March) 2020.My tasting notes:Appearance:  White wine gold (5/20), medium tears, long fine legs.Nose: sweet, white grape and furniture polish, floral, waxed fruit, grassy, hay, quite spirity with an alcohol sweetness, coconut mushroom sweeties or flumps, later, white peach in abundance and strawberry bon bons and malted milk biscuits.Taste: Full-bodied, white peach, strawberries and cream, malted milk biscuits, touch of white pepper and spiced lemongrass, sours as spirit citrus acidity tempers the sweet Madeira and Bourbon vanilla influences.Finish: Long, coppery metallic tang accompanies the softer and sweeter elements.", £39.75 available from The Whisky Exchange
"Paul John 6 Years Old Batch #3 (52.9%, TBWC, 822 Bottles, 2016)", John distillery,https://thewhiskyphiles.com/2020/02/05/paul-john-6-years-old-batch-3/, 6 Years Old,India, 52.9%,https://thewhiskyphiles.files.wordpress.com/2020/02/paul-john-that-boutiquey-whisky-company-whisky.jpg,"It’s the third batch of Paul John Indian single malt whisky independently bottled by That Boutique-y Whisky Company! Once again, all of those angels are lining up for their share of some cracking whisky. Geddit? Angels’ share? Because the angels’ share is much greater in India due to the temperature and humidity? Geddit? You geddit.Batch 3 is a release of 822 bottles.Official tasting notes:Nose: A rush of Bonfire Night aromas – particularly smoky embers and toffee apples. After a few minutes, the peat becomes ever-so-slightly coastal.Palate: Peat isn’t as pronounced as on the nose, with bourbon-y vanilla and milk chocolate taking the lead instead.Finish: Peppery peat and squashed blackcurrants.","An Independently bottled expression from John Distillery in India, producers of the Paul John whisky brand. This has been bottled by That Boutique-Y Whisky Company at 6 years old – factoring for accelerated maturation in the heat of the Indian climate, this matures akin to Bourbon rather than Scotch whisky.My tasting notes:Appearance: Full amber gold (9/20).Nose: Peated and floral, nutty, peanut butter, Reeses pieces, honeysuckle blossom, toffee apple, cinder toffee.Taste: Vanilla, peat smoke, ash, peppery, chocolate, blackcurrant,fruity, apple, charcoal, bbq, vanilla & chocolate milkshake, creamy.Finish: Long, peaty and sweet, pepper, oak wood and vanilla.", £97.95 available from Master of Malt
"Bain’s 15 Years Old Founders Collection (52.5%, OB, 3600 Bottles 2019)", James Sedgwick Distillery,https://thewhiskyphiles.com/2020/01/15/bains-15-years-old-founders-collection/, 15 Years Old,South Africa, 52.5%,https://thewhiskyphiles.files.wordpress.com/2020/01/bains-15-yo-grain-whisky-lr-003.jpg,"This first in the Founder’s Collection series pays tribute to Andrew Geddes Bain who built the Bain’s Kloof Pass, one of his most spectacular mountain passes constructed across South Africa.  Completed in 1853, the pass winds through the Limietberg Nature Reserve with sharp hairpin bends and to this day remains one of the most picturesque routes in the Cape.The tribute to Bain will continue over the next few years when the Founder’s Collection will see a number of limited release single grain whiskies launched, featuring the magnificent passes he built.The 15-Year-Old single grain whisky started its life off as Bain’s Cape Mountain Whisky and spent an additional 10 years maturing in older American oak to reveal new depths and layers of flavour and smoothness.“It took me 10 years to perfect Bain’s Cape Mountain Whisky and it was during this time that I realised that it has the potential to age much further than originally anticipated due to the flavour profile being upfront and complex. But in the world of whisky nothing is immediate or guaranteed and so I went about on an exploration, hoping that my experiment would not disappoint my vision.”“And my curiosity certainly paid off! I re-vatted the Bain’s into 3rd and 4th fill American Oak and for 10 years regularly tasted the whisky to track its progress. At 15 years, the whisky was at its most optimum. Bottled at a strength of 52.5% Alcohol by Volume, the whisky’s complexity and flavour driven profile shines through.”Andy Watts – Head Distiller The James Sedgwick DistilleryOfficial tasting notes:Colour: Dark AmberNose: Soft floral notes intertwining with spice, tropical fruits, banana and teak aromas open-up on the nose.Palate: Sweet butterscotch, raisins and banana loaf flavours coats the mouth with a complex, smooth and delicately lingering taste.Finish: The finish is warm and spicy with an incredibly smooth and silky mouthfeel.","A Limited edition 15 Year Old expression of Andy’s famous Bain’s Cape Mountain single grain whisky. I had the pleasure a few years back to sit with Andy and go through the components and story of how he constructed the standard single grain whisky expression with double maturation in ex-bourbon barrels featuring as a component. A little further experimental maturation in this expression (10 years to be exact) semes to have resulted in something rather special and worthy of selection as a limited edition bottling.Thanks to both Andy Watts and also Tom Thomson of Toms Whisky Reviews (link opens Toms review of Bains 15yo) for this sample.My tasting notes:Appearance: Dark golden brown (14/20), slow-forming fine teas and ultra-fine legs.Nose: Rich and sweet, vanilla pods, maple syrup, dried fig jam, honey, woody and slightly polished or newly painted, nutty almond, muskovado sugar, mashed ripe banana and green kiwi fruits.Taste: Light-medium bodied, creamy highland toffee, butterscotch, toffee-coated popcorn (butterkist), some gentle baking spices, banana milkshake and cinnamon bunsFinish: Long, sweet and spicy, cinnamon, ginger, woody oak and vanilla.", $50
